id,nama_buku,kode_buku,tanggal_pengesahan,kategori_buku,description,created_at
224,Pengembangan Sistem Monitoring dan Kontrol pada Greenhouse Berbasis IoT,224,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
225,Analisis Kinerja Sistem Elektronika Daya pada Kendaraan Listrik,225,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
226,Implementasi Sistem Pendeteksi Kebakaran Berbasis Sensor dan IoT,226,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
227,Desain Sistem Pengisian Daya Nirkabel untuk Perangkat Elektronik,227,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
228,Pengembangan Aplikasi Berbasis IoT untuk Pemantauan Kualitas Air Sungai,228,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
229,Desain Sistem Pendeteksi Gempa Bumi Berbasis Sensor Getaran,229,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
230,Implementasi Sistem Kendali Suhu dan Kelembaban pada Ruang Server,230,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
231,Studi Penggunaan Teknologi Augmented Reality pada Pembelajaran Teknik,231,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
232,Pengembangan Sistem Keamanan Berbasis Biometrik untuk Gedung Perkantoran,232,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
233,Desain dan Implementasi Sistem Smart Home Berbasis IoT,233,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
234,Analisis Penggunaan Teknologi NFC untuk Sistem Pembayaran Elektronik,234,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
235,Pengembangan Sistem Monitoring Polusi Udara Berbasis Sensor dan IoT,235,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
236,Desain Sistem Peringatan Dini Banjir Berbasis Sensor Ultrasonik,236,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
237,Implementasi Sistem Pengisian Daya Cepat untuk Kendaraan Listrik,237,2024-07-13,laporan skripsi,,2024-07-13 06:55:12
